,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
2803,EL TIO CANELO,@ELCANELO007,2022-10-01T01:49:06.000Z,"EL TIO CANELO
@ELCANELO007
¶ú
30 sept. 2022",Me invitaron a cenar a la Benito JuÇ­rez,,15,11,57,"['https://pbs.twimg.com/media/Fd8ro90WYAADBF_?format=jpg&name=small', 'https://pbs.twimg.com/media/Fd8ro94WQAAizyU?format=jpg&name=small']",https://twitter.com/ELCANELO007/status/1576026385872982016
2804,epigmenio ibarra,@epigmenioibarra,2022-10-01T00:12:55.000Z,"epigmenio ibarra
@epigmenioibarra
¶ú
30 sept. 2022","Los departamentos que presuntamente les daban las constructoras a los exdelegados de la AlcaldÇğa Benito JuÇ­rez y sus familiares, los vendÇğan y su patrimonio crecÇğa exponencialmente, por eso la UIF estÇ­ investigando si hubo lavado de dinero, informÇü Claudia Sheinbaum.",,30,614,1.155,[],https://twitter.com/epigmenioibarra/status/1576002181656109056
2805,Odt,@Odtsaga,2022-10-01T16:43:56.000Z,"Odt
@Odtsaga
¶ú
1 oct. 2022","Sin percepciÇün sÇülo movimiento de colgantes en CDMX, Benito JuÇ­rez 

#ReporteSismo 
@SkyAlertMx
 #Sismo",Ğ?? Ğ??,5,27,252,['https://pbs.twimg.com/ext_tw_video_thumb/1576251529518104576/pu/img/dRFS75uMRMBh6KTp.jpg'],https://twitter.com/Odtsaga/status/1576251581372444673
2806,Cocoon,@VientoEnrique,2022-10-01T19:49:41.000Z,"Cocoon
@VientoEnrique
¶ú
1 oct. 2022","Tacos de guisado 
La Fe en Ç?l

Cuarta avenida # 15 colonia Benito JuÇ­rez. Ciudad NezahualcÇüyotl CP57000",Ğ???,12,66,104,[],https://twitter.com/VientoEnrique/status/1576298322884628481
2807,tetlama en pie de lucha contra la mineria,@Tetlamasinmina,2022-10-01T01:40:49.000Z,"tetlama en pie de lucha contra la mineria
@Tetlamasinmina
¶ú
30 sept. 2022","Justo en esta zona de cultivo de maÇğz y sorgo, la minera pretende instalar su patio de lixiviacion, muy cerca del rÇğo los sabinos por aquello de los derrames, y muy cerca de la colonia Benito JuÇ­rez del municipio de Temixco Morelos",,,26,25,['https://pbs.twimg.com/media/Fd8pv2RVQAAUGnF?format=jpg&name=small'],https://twitter.com/Tetlamasinmina/status/1576024303279013888
2808,Chenato Zamudio monero,@Cirzchenato,2022-10-01T17:05:39.000Z,"Chenato Zamudio monero
@Cirzchenato
¶ú
1 oct. 2022",Benito juarez teniendo una Ç­guila real de mascota.,Ğ?§,1,,3,['https://pbs.twimg.com/media/Fd_9bQKWAAAz5vM?format=jpg&name=900x900'],https://twitter.com/Cirzchenato/status/1576257045107732480
2809,Reyna Tamayo,@reynatamayo_,2022-10-01T00:14:15.000Z,"Reyna Tamayo
@reynatamayo_
¶ú
30 sept. 2022","Esta tarde nos reunimos con muchas mujeres que participan en esta iniciativa que el IMM Benito JuÇ­rez ha realizado con mucho Ç¸xito.

En la #RegidurÇğa11 cuentan con una aliada 

#AccionesConRumbo .

(2/2).",ƒ?? Ğ??æ Ğ??œ,,,2,"['https://pbs.twimg.com/media/Fd8V8BwXgAEiEz2?format=jpg&name=small', 'https://pbs.twimg.com/media/Fd8V8IvXoAAsXCb?format=jpg&name=small']",https://twitter.com/reynatamayo_/status/1576002519242678273
2810,IronIrvs,@DaIrving4,2022-10-01T02:49:01.000Z,"IronIrvs
@DaIrving4
¶ú
30 sept. 2022","En respuesta a 
@jeremy_wokka",,1,2,51,[],https://twitter.com/DaIrving4/status/1576041464257470464
2811,Colibri,@colibri29,2022-10-01T16:44:49.000Z,"Colibri
@colibri29
¶ú
1 oct. 2022","En respuesta a 
@SafeLiveAlert",,1,1,6,[],https://twitter.com/colibri29/status/1576251801778913282
2812,‹œ¨ Ğ??Ğ?ñĞ??Ğ?©Ğ?¨Ğ?ñĞ?¬ Ğ??Ğ?ıĞ?¬Ğ?¯ ‹œ¨ Œù?,@EduardoLeonMx,2022-10-01T22:01:09.000Z,"‹œ¨ Ğ??Ğ?ñĞ??Ğ?©Ğ?¨Ğ?ñĞ?¬ Ğ??Ğ?ıĞ?¬Ğ?¯ ‹œ¨ Œù?
@EduardoLeonMx
¶ú
1 oct. 2022","Respondiendo a 
@JoseAntonioLo06
 @myleneymylene
 y 3 mÇ­s",,,9,19,[],https://twitter.com/EduardoLeonMx/status/1576331411271061504
2813,RaÇ§l GutiÇ¸rrez,@RaulGtzNR,2022-10-01T20:22:57.000Z,"RaÇ§l GutiÇ¸rrez
@RaulGtzNR
¶ú
1 oct. 2022","RubÇ¸n M. Campos y Plutarco ElÇğas Calles de la alcaldÇğa Benito JuÇ­rez. Motociclista impactado, se requiere apoyo mÇ¸dico. 
@C5_CDMX
 @UCS_GCDMX",,89,48,321,"['https://pbs.twimg.com/media/FeAqkveXoAMORKL?format=jpg&name=small', 'https://pbs.twimg.com/media/FeAqk9cXwAEhkwl?format=jpg&name=small', 'https://pbs.twimg.com/media/FeAqlL8XoAIXcKo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeAqlZiWQAIPxiM?format=jpg&name=small']",https://twitter.com/RaulGtzNR/status/1576306695256518656
2814,INEHRM,@INEHRM,2022-10-01T17:00:01.000Z,"INEHRM
@INEHRM
¶ú
1 oct. 2022","#EfemÇ¸ridesJuaristas 

1-octubre-1860 

En el puerto de Veracruz nace JerÇünima Francisca JuÇ­rez Maza, hija de don Benito y doÇña Margarita. Se inscribe en el Registro Civil, siendo su acta la que inaugura el libro correspondiente.",,,4,14,['https://pbs.twimg.com/media/Fd8IhVQXwAA4VrZ?format=png&name=small'],https://twitter.com/INEHRM/status/1576255628103733248
2815,Lebron Fef,@MisterFef,2022-10-01T23:47:55.000Z,"Lebron Fef
@MisterFef
¶ú
1 oct. 2022","Respondiendo a 
@SSHansLanda29
 @Cuauhtemoc_1521
 y 9 mÇ­s",,1,,3,[],https://twitter.com/MisterFef/status/1576358278703243264
2816,CancÇ§n al Minuto Oficial,@cancunalminut0,2022-10-01T20:28:07.000Z,"CancÇ§n al Minuto Oficial
@cancunalminut0
¶ú
1 oct. 2022","CancÇ§n, 01 de octubre 2022.- Elementos de la PolicÇğa Quintana Roo Benito JuÇ­rez, en coordinaciÇün con el Heroico Cuerpo de Bomberos y ProtecciÇün Civil, lograron el rescate de una persona que era atacada por un cocodrilo, fue llevado al Hospital para su atenciÇün mÇ¸dica.",ƒø,1,4,27,"['https://pbs.twimg.com/media/FeArvMlXkAIXd-G?format=jpg&name=small', 'https://pbs.twimg.com/media/FeArv6eWQAM1Dut?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeArwxQWAAAtk4B?format=jpg&name=360x360']",https://twitter.com/cancunalminut0/status/1576307997076205568
2817,Literal MÇ¸xico,@literalmexico,2022-10-01T13:57:30.000Z,"Literal MÇ¸xico
@literalmexico
¶ú
1 oct. 2022","Sheinbaum y FiscalÇğa CDMX van por ""lado de dinero"" del CÇ­rtel Inmobiliario, la UIF por delitos federales de ex y alcaldes del PAN en Benito JuÇ­rez y Miguel Hidalgo",,10,11,14,[],https://twitter.com/literalmexico/status/1576209693990494208
2818,un hombre con un gato negro,@kinesis_humana,2022-10-01T01:35:52.000Z,"un hombre con un gato negro
@kinesis_humana
¶ú
30 sept. 2022","En respuesta a 
@Claudiashein",Ğ??÷ ƒ?? Ğ??ù,,4,4,[],https://twitter.com/kinesis_humana/status/1576023057369509888
2819,Rosy Fregoso,@rosyfregos,2022-10-01T17:10:04.000Z,"Rosy Fregoso
@rosyfregos
¶ú
1 oct. 2022","¶­Fiestas de Octubre en Guadalajara !

Ayer despuÇ¸s de 2 aÇños volvieron nuestras tradicionales fiestas de octubre  

Sabor, tradiciÇün y mucha mucha fiesta se vivirÇ­n este mes en el Auditorio Benito JuÇ­rez ",Ğ??æ Ğ?¾ü Ğ?®ô,1,1,4,"['https://pbs.twimg.com/media/Fd_-b7sWIAAhE0s?format=jpg&name=small', 'https://pbs.twimg.com/media/Fd_-b7nXkAU5iTA?format=jpg&name=small']",https://twitter.com/rosyfregos/status/1576258157109997568
2820,SorevP,@PGVIVEROS,2022-10-01T13:35:15.000Z,"SorevP
@PGVIVEROS
¶ú
1 oct. 2022","En respuesta a 
@DonVocero
 y 
@CNexiones",,1,,12,[],https://twitter.com/PGVIVEROS/status/1576204094183993344
2821,Sociedad Benito JuÇ­rez,@SBJ_1920,2022-10-01T14:11:38.000Z,"Sociedad Benito JuÇ­rez
@SBJ_1920
¶ú
1 oct. 2022","¶­Muchas felicidades a los socios y socias que cumplen aÇños este mes de octubre! 

¶­EnvÇğamos un afectuoso abrazo esperando que se encuentren bien!

 Muchas felicidades 

Sociedad Benito JuÇ­rez ",Ğ??? Ğ?? Ğ??? ƒ?¬ ƒ?¬ Ğ???,,1,4,['https://pbs.twimg.com/media/Fd_VmYDXwAIssI8?format=jpg&name=small'],https://twitter.com/SBJ_1920/status/1576213253654708228
2822,RaÇ§l GutiÇ¸rrez,@RaulGtzNR,2022-10-01T03:26:56.000Z,"RaÇ§l GutiÇ¸rrez
@RaulGtzNR
¶ú
30 sept. 2022", Asesinan a presunto delincuente en la Benito Juarez...,ƒ?İ,5,19,197,[],https://twitter.com/RaulGtzNR/status/1576051008635273216
2823,Gustavo FernÇ­ndez del Castillo Oviedo,@gustavofdelc,2022-10-01T04:17:23.000Z,"Gustavo FernÇ­ndez del Castillo Oviedo
@gustavofdelc
¶ú
30 sept. 2022","Que bueno que los carteles inmobiliarios SOLO estÇ­n en LA BENITO JUAREZ , en Miguel Hidalgo ,Alvaro ObregÇün ,Tlalpan ,Cuauhtemoc  NO EXISTE ESPECULADORES INMOBILIARIOS.",,,,4,"['https://pbs.twimg.com/profile_images/1598682889176158214/2PXt-Y0s_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1575994387879845889/img/d7ZKAyql1EOFVlQV.jpg']",https://twitter.com/gustavofdelc/status/1576063703212249088
2824,Nancy Ortiz Cabrera,@NancyOrtizOax,2022-10-01T21:15:03.000Z,"Nancy Ortiz Cabrera
@NancyOrtizOax
¶ú
1 oct. 2022","Con esta reuniÇün, daremos seguimiento a los programas de Becas Benito JuÇ­rez y 
@JovConFuturo
, estamos uniendo esfuerzos para fortalecer la educaciÇün de la juventud en MÇ¸xico.",,,5,13,"['https://pbs.twimg.com/media/FeA2gvJXgAAGO6b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeA2gvFXEAEUGRt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeA2gvIWYAIQPvt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeA2gvJWYAUSj1O?format=jpg&name=360x360']",https://twitter.com/NancyOrtizOax/status/1576319809687810049
2825,SecretarÇğa de Movilidad,@SEMOVI_GobOax,2022-10-01T18:16:00.000Z,"SecretarÇğa de Movilidad
@SEMOVI_GobOax
¶ú
1 oct. 2022","El 01 de octubre de 1955, muere Manuel Cabrera Carrasquedo, fue Gobernador del Estado de Oaxaca y realizÇü la transformaciÇün del Instituto de Ciencias y Artes de la Universidad AutÇünoma Benito JuÇ­rez (UABJO).",,,2,3,['https://pbs.twimg.com/media/Fd7IRfBXwBQ9Blb?format=jpg&name=small'],https://twitter.com/SEMOVI_GobOax/status/1576274747603750917
2826,Becas Benito JuÇ­rez Tamaulipas,@BBBJ_Tamaulipas,2022-10-01T17:30:00.000Z,"Becas Benito JuÇ­rez Tamaulipas
@BBBJ_Tamaulipas
¶ú
1 oct. 2022","Beneficiaria o beneficiario de la Beca para el Bienestar Benito JuÇ­rez de EducaciÇün Superior #JÇüvenesEscribiendoElFuturo  conoce cÇümo se realizan los pagos y mÇ­s detalles sobre el programa. 

Entra a  http://bit.ly/JÇüvenesEscribi3venesEscribiendoElFuturoƒ?İ",Ğ??? Ğ???,,,3,['https://pbs.twimg.com/media/FdwKiU1WQAI3X3d?format=jpg&name=small'],https://twitter.com/BBBJ_Tamaulipas/status/1576263171425329159
2827,HÇ¸ctor DÇğaz-Polanco,@diazpol,2022-10-01T15:12:33.000Z,"HÇ¸ctor DÇğaz-Polanco
@diazpol
¶ú
1 oct. 2022",FGJ pide datos a la UIF | Sheinbaum: Hay modus operandi de ƒ??lavado de dineroƒ? en CÇ­rtel Inmobiliario de la alcaldÇğa Benito JuÇ­rez.,,,8,17,['https://pbs.twimg.com/card_img/1646036296719056897/Eb8lO4zI?format=png&name=small'],https://twitter.com/diazpol/status/1576228580291665922
2828,ZARAPE SKATE CO.,@zarape,2022-10-01T20:16:02.000Z,"ZARAPE SKATE CO.
@zarape
¶ú
1 oct. 2022","Ya tenemos disponibles todos los modelos de 
@onefootwear
  en 
@Zarapeskateshop
 VisÇğtanos hoy   11 am a 7 pm  
Estamos ubicados en calle Tenayuca 55 B Col LetrÇ­n Valle AlcaldÇğa Benito JuÇ­rez #CDMX 
#SkateBoarding 
#SkateShop 
#SkateLife 
#ZarapeSkateShop 
#Parati",Ğ??û Ğ?? Ğ?? Ğ??¾ Ğ??¾,,1,3,"['https://pbs.twimg.com/media/FeAo_pDXoAEHBjo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeAo_7mWYAE0S2n?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeApALGXkAYn_rR?format=jpg&name=360x360']",https://twitter.com/zarape/status/1576304955967016960
2829,AsÇğ lo dice MÇ¸xico,@AsiLoDiceMexico,2022-10-01T18:00:16.000Z,"AsÇğ lo dice MÇ¸xico
@AsiLoDiceMexico
¶ú
1 oct. 2022","Esposa de Santiago Taboada, alcalde panista de Benito JuÇ­rez, es captada portando un bolso de mÇ­s de 80 mil pesos https://losreporteros.mx/esposa-de-santiago-taboada-alcalde-panista-de-benito-juarez-es-captada-portando-un-bolso-de-mas-de-80-mil-pesos/ƒ?İ #Monitor4T",,,2,1,[],https://twitter.com/AsiLoDiceMexico/status/1576270788482703361
2830,Agencia 24mm,@agencia_24mm,2022-10-01T00:25:16.000Z,"Agencia 24mm
@agencia_24mm
¶ú
30 sept. 2022","Ç?ltima hora: Una persona muerta sobre la avenida Barranca del Muerto, en la colonia San JosÇ¸ Insurgentes, alcaldÇğa Benito JuÇ­rez. Elementos de la SecretarÇğa de Seguridad Ciudadana de la Cdmx resguardan la zona. Video: Naim Guerrero/ 
@agencia_24mm
 @SSC_CDMX
 @GobCDMX",Ğ??÷,,2,2,['https://pbs.twimg.com/ext_tw_video_thumb/1576005242612862979/pu/img/Fb2cHiLcgi47pELt.jpg'],https://twitter.com/agencia_24mm/status/1576005288729014273
2831,MaratÇün de la Ciudad de MÇ¸xico Telcel,@MaratonCDMX,2022-10-01T01:49:01.000Z,"MaratÇün de la Ciudad de MÇ¸xico Telcel
@MaratonCDMX
¶ú
30 sept. 2022"," Runner, si no pudiste recoger tus pertenencias en el MaratÇün de la Ciudad de MÇ¸xico 
@Telcel
 2022, esta informaciÇün te interesa

 Av. DivisiÇün del Nte. 2333, colonia, General Anaya, alcaldÇğa Benito JuÇ­rez.",Ğ??,1,2,10,['https://pbs.twimg.com/media/Fd8roJeUcAAx_LD?format=jpg&name=small'],https://twitter.com/MaratonCDMX/status/1576026366884970497
2832,@telediario,@telediario,2022-10-01T14:23:16.000Z,"@telediario
@telediario
¶ú
1 oct. 2022","Familiares de ex funcionarios de la alcaldÇğa Benito JuÇ­rez declararon por CÇ­rtel Inmobiliario

https://bit.ly/3fzWkWj",,,2,4,['https://pbs.twimg.com/media/Fd_YQm9WYAQ5Fmd?format=jpg&name=small'],https://twitter.com/telediario/status/1576216180276305921
2833,Luis Alberto DÇğaz y Los Noticieristas,@noticieristas,2022-10-01T02:10:10.000Z,"Luis Alberto DÇğaz y Los Noticieristas
@noticieristas
¶ú
30 sept. 2022","#Angostura| Las malas condiciones de la autopista Benito JuÇ­rez, mejor conocida como La Costera, provocÇü que un camiÇün de pasajeros perdiera el control y se volcara.

#ObservandoEnVivo| 
@Noticierista",Ğ?? Ğ??ï,1,1,3,[],https://twitter.com/noticieristas/status/1576031688072654848
2834,Grupo FÇürmula,@Radio_Formula,2022-10-01T13:30:00.000Z,"Grupo FÇürmula
@Radio_Formula
¶ú
1 oct. 2022",¶¨Eres beneficiario de la Beca Benito JuÇ­rez? Conoce la fecha en la que recibirÇ­s tu pago doble del Ç§ltimo bimestre.,,,2,2,[],https://twitter.com/Radio_Formula/status/1576202773292617729
2835,Grupo FÇürmula,@Radio_Formula,2022-10-01T22:30:00.000Z,"Grupo FÇürmula
@Radio_Formula
¶ú
1 oct. 2022",El prÇüximo pago serÇ­ el Ç§ltimo que los beneficiarios de la Beca Benito JuÇ­rez obtengan este aÇño. Te decimos la fecha exacta en la que te lo depositarÇ­n.,,,,4,[],https://twitter.com/Radio_Formula/status/1576338669576884224
2836,Avi,@avieu,2022-10-02T19:20:29.000Z,"Avi
@avieu
¶ú
2 oct. 2022",A Benito JuÇ­rez no le gusta esta foto de AdÇ­n. ,Ğ?İ?,16,28,305,['https://pbs.twimg.com/media/FeFl4BVX0AEjLkh?format=jpg&name=small'],https://twitter.com/avieu/status/1576653362690654208
2837,NORDUR,@ndurancoronado,2022-10-02T02:41:41.000Z,"NORDUR
@ndurancoronado
¶ú
1 oct. 2022","Casa donde habitÇü Benito Juarez.
Veracruz, Ver.
1930.

#MÇ¸xicoTierraSagrada",ƒÏ,1,11,49,['https://pbs.twimg.com/media/FeCBRVgUAAEtbuG?format=jpg&name=small'],https://twitter.com/ndurancoronado/status/1576402006163324929
2838,Alfredo Marquez T.,@Perrosenlacalle,2022-10-02T14:14:24.000Z,"Alfredo Marquez T.
@Perrosenlacalle
¶ú
2 oct. 2022","Un poquito de lo que compartas puede hacer una gran diferencia para sacar adelante a  76 peluditos rescatados. Te esperamos hoy en parque hundido de 12 a 6 p.m.  Porfirio DÇğaz esq. Atlanta, alcaldÇğa Benito JuÇ­rez, si no puedes asistir puedes apoyar vÇğa bancaria x favor. Gracias",,3,127,72,"['https://pbs.twimg.com/media/FeEf0I_XgAEJPIm?format=jpg&name=small', 'https://pbs.twimg.com/media/FeEf0j8X0AIJGMF?format=jpg&name=small']",https://twitter.com/Perrosenlacalle/status/1576576335853780992
2839,@juvims07,@juvims07,2022-10-02T21:54:40.000Z,"@juvims07
@juvims071
¶ú
2 oct. 2022","En respuesta a 
@ScorpioGeneral_
 y 
@mario_delgado",,,,3,['https://pbs.twimg.com/media/FeGJK0MXwAIeZwy?format=jpg&name=small'],https://twitter.com/juvims071/status/1576692165409136640
2840,SALVANDO VIDAS OAXACA A.C.,@gsvoax,2022-10-02T21:58:44.000Z,"SALVANDO VIDAS OAXACA A.C.
@gsvoax
¶ú
2 oct. 2022","En respuesta a 
@PeatonVigilante
 @urbanosoax
 y 
@AnaLauraCarras9",,,1,4,[],https://twitter.com/gsvoax/status/1576693190727696384
2841,Berenice PeÇña CMLL,@Berenic97237153,2022-10-02T00:20:36.000Z,"Berenice PeÇña CMLL
@Berenic97237153
¶ú
1 oct. 2022","HOLA
#YaTrabJaar 
#YaWalmart 
#YaMetro
Aqui Mi casa Benito JuÇ­rez CDMX Muy bien y Un Fuerte ",Ğ??? Ğ??? ƒÏ Ğ??? Ğ??? ƒÏ Ğ??? Ğ??? Ğ??? Ğ??? Ğ??? Ğ??? Ğ??? Ğ?Ï? Ğ?Ï? Ğ?Ï? Ğ?Ï? Ğ?Ï?,1,,3,[],https://twitter.com/Berenic97237153/status/1576366504169287680
2842,Lic. Mollejas de Gato Fritas,@LicMollejas,2022-10-02T05:28:29.000Z,"Lic. Mollejas de Gato Fritas
@LicMollejas
¶ú
2 oct. 2022","En respuesta a 
@AlexiaPls",,,,1,[],https://twitter.com/LicMollejas/status/1576443983609626624
2843,Eme Flores,@EmeAquiFlores,2022-10-02T22:53:47.000Z,"Eme Flores
@EmeAquiFlores
¶ú
2 oct. 2022",Digan lo que quieran de Dresser pero a ella no la he visto hablar bondades de Echeverria como a la banda de Morena Benito JuÇ­rez https://twitter.com/AlfonsoFDyE/status/1576662999422578688ƒ?İ,,1,14,68,[],https://twitter.com/EmeAquiFlores/status/1576707044433809408
2844,azÇ§car de la prieta,@Gaelmtze,2022-10-02T01:03:09.000Z,"azÇ§car de la prieta
@Gaelmtze
¶ú
1 oct. 2022",Alchile disfrazadme de Benito JuÇ­rez es gran idea pero no le pienso faltar el respeto al seÇñor ni a mi mismo.,,5,,6,[],https://twitter.com/Gaelmtze/status/1576377212478967809
2845,Gabriel Viedma,@GabrielViedma7,2022-10-02T07:44:38.000Z,"Gabriel Viedma
@GabrielViedma7
¶ú
2 oct. 2022","En respuesta a 
@nsilvad05",,1,1,4,[],https://twitter.com/GabrielViedma7/status/1576478245830422528
2846,Berenice PeÇña CMLL,@Berenic97237153,2022-10-02T21:41:00.000Z,"Berenice PeÇña CMLL
@Berenic97237153
¶ú
2 oct. 2022","HOLA
AquÇğ Mi casa Benito JuÇ­rez CDMX mi casa y #MiFuison y #MiEjericio y Muy bien.. 
#2DeOctubreNoSeOlvida 
#CDMX ",Ğ??? Ğ??? ƒÏ ƒÏ Ğ??? Ğ??? ƒÏ ƒÏ Ğ??? Ğ??? Ğ??? Ğ??? Ğ???,,,3,[],https://twitter.com/Berenic97237153/status/1576688726776090624
2847,FiscalÇğa General del Estado de Quintana Roo,@FGEQuintanaRoo,2022-10-02T03:57:44.000Z,"FiscalÇğa General del Estado de Quintana Roo
@FGEQuintanaRoo
¶ú
1 oct. 2022","#ServicioSocialQRoo Solicitamos su ayuda para localizar a Eduardo Morales LÇüpez, visto por Ç§ltima vez el 30 de septiembre de 2022, en el municipio de Benito JuÇ­rez, Quintana Roo. Si tiene informaciÇün que conduzca a su paradero favor de comunicarse al 998 8817150 ext. 2169.",,1,320,21,['https://pbs.twimg.com/media/FeCSrjCXEAUioIr?format=jpg&name=small'],https://twitter.com/FGEQuintanaRoo/status/1576421148153511937
2848,Eddie,@thesituationg,2022-10-02T16:04:56.000Z,"Eddie
@thesituationg
¶ú
2 oct. 2022","Respondiendo a 
@repartidorr
 @SSC_CDMX
 y 10 mÇ­s",,,,2,[],https://twitter.com/thesituationg/status/1576604152855044097
2849,INFO3MEDIA,@Info3Gdl,2022-10-02T02:37:20.000Z,"INFO3MEDIA
@Info3Gdl
¶ú
1 oct. 2022","#AlMomento Asi se prende el Auditorio Benito JuÇ­rez con la presentaciÇün del 
@MariachiVargas
 en el segundÇü dÇğa de las 
@octubrefiestas
 
#AlEstiloJalisco",,1,3,9,['https://pbs.twimg.com/ext_tw_video_thumb/1576398690943700993/pu/img/v1pvsiuhPW2SyStH.jpg'],https://twitter.com/Info3Gdl/status/1576400913341685761
2850,INEHRM,@INEHRM,2022-10-02T17:00:02.000Z,"INEHRM
@INEHRM
¶ú
2 oct. 2022","#EfemÇ¸ridesJuaristas 

2-octubre-1843

Benito JuÇ­rez es nombrado segundo vocal suplente de la Asamblea Departamental de Oaxaca.",,,5,18,['https://pbs.twimg.com/media/Fd8IuMSXEAAyrOm?format=jpg&name=900x900'],https://twitter.com/INEHRM/status/1576618017143726080
2851,"Coco&Yol, hijos de Claudia Gabriela",@Psicobable,2022-10-02T00:54:59.000Z,"Coco&Yol, hijos de Claudia Gabriela
@Psicobable
¶ú
1 oct. 2022","En respuesta a 
@Dulce8417",,1,,4,['https://pbs.twimg.com/media/FeBo2W-UoAEouxH?format=jpg&name=small'],https://twitter.com/Psicobable/status/1576375156091428864
2852,Marco ColÇğn,@MarcoColin_,2022-10-02T12:39:42.000Z,"Marco ColÇğn
@MarcoColin_
¶ú
2 oct. 2022",¶­Se desvela el misterio del mal olor del Aeropuerto Internacional Benito JuÇ­rez de la Ciudad de MÇ¸xico!,,,,7,['https://pbs.twimg.com/ext_tw_video_thumb/1576552055568683011/pu/img/IL7y02j8gbsXXljX.jpg'],https://twitter.com/MarcoColin_/status/1576552505089019904
2853,Roel Tenorio,@RoelTenorio2,2022-10-02T23:27:48.000Z,"Roel Tenorio
@RoelTenorio2
¶ú
2 oct. 2022","En respuesta a 
@carlosbravoreg
 y 
@DeniseDresserG",,,,4,[],https://twitter.com/RoelTenorio2/status/1576715601455685634
2854,El Jon,@Jon_ElNolasco,2022-10-02T02:09:15.000Z,"El Jon
@Jon_ElNolasco
¶ú
1 oct. 2022","I'm at El Vilsito in Benito JuÇ­rez, DF https://swarmapp.com/c/3FNfY2KLrCd",,,,2,['https://pbs.twimg.com/media/FeB52P2XgAY1H7A?format=jpg&name=small'],https://twitter.com/Jon_ElNolasco/status/1576393843926355969
2855,Ğ?Ğ??Ğ??ÇüĞ??Ğ??Ğ??Ğ?? Ğ?îĞ??Ğ??Ğ??Ğ??Ğ??Ğ??,@taller2006,2022-10-02T00:05:07.000Z,"Ğ?Ğ??Ğ??ÇüĞ??Ğ??Ğ??Ğ?? Ğ?îĞ??Ğ??Ğ??Ğ??Ğ??Ğ??
@taller2006
¶ú
1 oct. 2022","Una de mis compaÇñeras de morena en Benito JuÇ­rez perdiÇü a su madre, la seÇñora Rosa MarÇğa Lemus.
Incansable militante del Obradorismo.

Te acompaÇño en tu dolor 
@anaizquirda2018
 que llegue  la paz y la resignaciÇün pronto a tu corazÇün.",,6,8,46,['https://pbs.twimg.com/media/FeBcuZnUYAAn_5g?format=png&name=small'],https://twitter.com/taller2006/status/1576362607094571009
2856,Andres M!reles,@AndresMireles,2022-10-02T17:09:38.000Z,"Andres M!reles
@AndresMireles
¶ú
2 oct. 2022",Recuerdan de que muriÇü el hÇ¸roe del KKs Benito JuÇ­rez?,Ğ??Ÿ Ğ?§,,,1,['https://pbs.twimg.com/profile_images/1639483404532973570/YDw0JHIu_normal.jpg'],https://twitter.com/AndresMireles/status/1576620434627649536
2857,RubÇ¸n Rocha Moya,@rochamoya_,2022-10-02T23:38:49.000Z,"RubÇ¸n Rocha Moya
@rochamoya_
¶ú
2 oct. 2022","Continuamos el recorrido por los municipios del sur del estado. En CajÇün de Ojo de Agua, Rosario, hablamos con vecinas y vecinos de la Escuela Primaria Benito JuÇ­rez, uno de los refugios temporales habilitados por 
@PC_Sinaloa
.",,4,16,80,"['https://pbs.twimg.com/media/FeGhAa6VEAEFEFU?format=jpg&name=small', 'https://pbs.twimg.com/media/FeGhAa7UoAEYugA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeGhAa7VUAADNX3?format=jpg&name=360x360']",https://twitter.com/rochamoya_/status/1576718377531240448
2858,twetero feliz,@JuanCar30983106,2022-10-02T13:46:48.000Z,"twetero feliz
@JuanCar30983106
¶ú
2 oct. 2022","En respuesta a 
@laredcincoradio",Ğ?Ï? Ğ?Ï? Ğ?Ï?,,,11,[],https://twitter.com/JuanCar30983106/status/1576569389293314048
2859,Municipio de Guadalupe,@municipiodegpe,2022-10-02T14:41:42.000Z,"Municipio de Guadalupe
@municipiodegpe
¶ú
2 oct. 2022","Se realizaron trabajos de deshierbe en andadores del RÇğo La Silla cerca de Av Benito JuÇ­rez en #GuadalupeNL, asÇğ como trabajos de rehabilitaciÇün de pavimento en Av Plutarco E Calles.",,4,11,11,"['https://pbs.twimg.com/media/FeEmEF3XgAM09yX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeEmEF6XgAIvvTb?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeEmEF5XoAMTWmi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeEmEF5XkAEWaH0?format=jpg&name=360x360']",https://twitter.com/municipiodegpe/status/1576583207394631681
2860,Ey Gary,@ey___gary,2022-10-02T20:45:29.000Z,"Ey Gary
@ey___gary
¶ú
2 oct. 2022","En respuesta a 
@young_casta",,1,,6,[],https://twitter.com/ey___gary/status/1576674757105180673
